prefapName,positionX,positionY
Solid5,-28,-15
Solid1,-28,-14
Solid1,-28,-13
Solid1,-28,-12
Solid1,-28,-11
Solid1,-28,-10
Solid2,-28,-9
Solid2,-28,-8
Solid2,-28,-7
Solid2,-28,-6
Solid2,-28,-5
Solid4,-28,-4
Solid4,-28,-3
Solid4,-28,-2
Solid4,-28,-1
Solid3,-28,0
Solid3,-28,1
Solid3,-28,2
Solid3,-28,3
Solid2,-28,4
Solid2,-28,5
Solid2,-28,6
Solid2,-28,7
Solid2,-28,8
Solid1,-28,9
Solid1,-28,10
Solid1,-28,11
Solid1,-28,12
Solid1,-28,13
Solid5,-28,14
Solid1,-27,-15
Solid1,-27,14
Solid2,-26,-15
Solid2,-26,14
Solid1,-25,-15
Solid1,-25,14
Solid2,-24,-15
Solid2,-24,14
Solid1,-23,-15
Solid1,-23,14
Solid5,-22,-15
Solid5,-22,14
Solid5,-21,-15
Solid5,-21,14
Solid5,-20,-15
Solid5,-20,14
Solid5,-19,-15
Solid5,-19,14
Solid5,-18,-15
Solid5,-18,14
Solid5,-17,-15
Solid5,-17,14
Solid3,-16,-15
Solid3,-16,14
Solid3,-15,-15
Solid3,-15,14
Solid3,-14,-15
Solid3,-14,14
Solid3,-13,-15
Solid3,-13,14
Solid3,-12,-15
Solid3,-12,14
Solid5,-11,-15
Solid5,-11,14
Solid5,-10,-15
Solid5,-10,14
Solid1,-9,-15
Solid1,-9,14
Solid2,-8,-15
Solid2,-8,14
Solid3,-7,-15
Solid3,-7,14
Solid4,-6,-15
Solid4,-6,14
Solid4,-5,-15
Solid4,-5,14
Solid3,-4,-15
Solid3,-4,14
Solid2,-3,-15
Solid2,-3,14
Solid1,-2,-15
Solid1,-2,14
Solid5,-1,-15
Solid5,-1,14
Solid5,0,-15
Solid5,0,14
Solid1,1,-15
Solid1,1,14
Solid2,2,-15
Solid2,2,14
Solid3,3,-15
Solid3,3,14
Solid4,4,-15
Solid4,4,14
Solid4,5,-15
Solid4,5,14
Solid3,6,-15
Solid3,6,14
Solid2,7,-15
Solid2,7,14
Solid1,8,-15
Solid1,8,14
Solid5,9,-15
Solid5,9,14
Solid5,10,-15
Solid5,10,14
Solid3,11,-15
Solid3,11,14
Solid3,12,-15
Solid3,12,14
Solid3,13,-15
Solid3,13,14
Solid3,14,-15
Solid3,14,14
Solid3,15,-15
Solid3,15,14
Solid5,16,-15
Solid5,16,14
Solid5,17,-15
Solid5,17,14
Solid5,18,-15
Solid5,18,14
Solid5,19,-15
Solid5,19,14
Solid5,20,-15
Solid5,20,14
Solid5,21,-15
Solid5,21,14
Solid1,22,-15
Solid1,22,14
Solid2,23,-15
Solid2,23,14
Solid1,24,-15
Solid1,24,14
Solid2,25,-15
Solid2,25,14
Solid1,26,-15
Solid1,26,14
Solid5,27,-15
Solid1,27,-14
Solid1,27,-13
Solid1,27,-12
Solid1,27,-11
Solid1,27,-10
Solid2,27,-9
Solid2,27,-8
Solid2,27,-7
Solid2,27,-6
Solid2,27,-5
Solid4,27,-4
Solid4,27,-3
Solid4,27,-2
Solid4,27,-1
Solid3,27,0
Solid3,27,1
Solid3,27,2
Solid3,27,3
Solid2,27,4
Solid2,27,5
Solid2,27,6
Solid2,27,7
Solid2,27,8
Solid1,27,9
Solid1,27,10
Solid1,27,11
Solid1,27,12
Solid1,27,13
Solid5,27,14
