prefapName,positionX,positionY
Mob2,-8,1
Mob2,-7,7
Mob2,-14,13
Mob2,-25,9
Mob2,-25,5
Mob2,-18,1
Mob2,-17,-2
Mob2,-17,-13
Mob2,-3,-12
Mob2,-7,-8
Mob1,-4,12
Mob1,-7,12
Mob1,-10,11
Mob1,-19,12
Mob1,-25,12
Mob1,-23,7
Mob1,-27,-3
Mob1,-22,0
Mob1,-19,-3
Mob1,-24,-8
Mob1,-19,-12
Mob1,-3,-10
Mob1,-8,-1
Mob2,7,1
Mob2,6,7
Mob2,13,13
Mob2,24,9
Mob2,24,5
Mob2,17,1
Mob2,16,-2
Mob2,16,-13
Mob2,2,-12
Mob2,6,-8
Mob1,3,12
Mob1,6,12
Mob1,9,11
Mob1,18,12
Mob1,24,12
Mob1,22,7
Mob1,26,-3
Mob1,21,0
Mob1,18,-3
Mob1,23,-8
Mob1,18,-12
Mob1,2,-10
Mob1,7,-1
