prefapName,positionX,positionY
Mob2,2,-11,
Mob2,-1,-11,
Mob2,-2,-11,
Mob2,-3,-11,
Mob2,-4,-11,
Mob2,-5,-11,
Mob2,-6,-11,
Mob2,-12,-11,
Mob2,-13,-11,
Mob2,-14,-11,
Mob2,-15,-11,
Mob2,-18,-11,
Mob2,-19,-10,
Mob2,-19,-9,
Mob2,-19,-8,
Mob2,-19,-6,
Mob2,-19,-5,
Mob2,-19,-4,
Mob2,-19,-2,
Mob2,-19,0,
Mob2,-19,1,
Mob2,-19,3,
Mob2,-19,5,
Mob2,-19,6,
Mob2,-19,7,
Mob1,3,-11,
Mob1,1,-11,
Mob1,0,-11,
Mob1,-7,-11,
Mob1,-8,-11,
Mob1,-9,-11,
Mob1,-10,-11,
Mob1,-11,-11,
Mob1,-16,-11,
Mob1,-17,-11,
Mob1,-19,-11,
Mob1,-19,-10,
Mob1,-19,-9,
Mob1,-19,-8,
Mob1,-19,-7,
Mob1,-19,-4,
Mob1,-19,-1,
Mob1,-19,0,
Mob1,-19,2,
Mob1,-19,3,
Mob1,-19,4,
Mob1,-19,5,
Mob1,-19,7,
